         15395641 function calls (15388763 primitive calls) in 44.600 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.024    0.024 platform.py:10(<module>)
       36    0.001    0.000    0.023    0.001 __init__.py:356(namedtuple)
      499    0.002    0.000    0.023    0.000 re.py:278(_compile)
       72    0.000    0.000    0.022    0.000 re.py:222(compile)
       62    0.001    0.000    0.021    0.000 sre_compile.py:531(compile)
        2    0.000    0.000    0.021    0.011 __init__.py:45(<module>)
        1    0.000    0.000    0.021    0.021 client.py:69(<module>)
        1    0.000    0.000    0.021    0.021 __init__.py:10(<module>)
        1    0.000    0.000    0.019    0.019 index_tricks.py:1(<module>)
        1    0.000    0.000    0.019    0.019 py3k.py:4(<module>)
     4469    0.006    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:50(_path_join)
        4    0.000    0.000    0.017    0.004 linear.py:1(<module>)
        1    0.000    0.000    0.017    0.017 __init__.py:7(<module>)
    20000    0.016    0.000    0.016    0.000 mcst.py:197(setterminal)
      190    0.002    0.000    0.016    0.000 batchnorm.py:58(forward)
        1    0.000    0.000    0.015    0.015 subprocess.py:356(<module>)
        3    0.000    0.000    0.014    0.005 __init__.py:15(<module>)
      321    0.002    0.000    0.014    0.000 textwrap.py:415(dedent)
        1    0.005    0.005    0.014    0.014 {built-in method torch._C._initExtension}
     1881    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:68(_path_stat)
        1    0.011    0.011    0.013    0.013 kl.py:1(<module>)
      447    0.003    0.000    0.013    0.000 <frozen importlib._bootstrap>:510(_init_module_attrs)
        1    0.000    0.000    0.013    0.013 _jit_internal.py:5(<module>)
      190    0.001    0.000    0.013    0.000 functional.py:1643(batch_norm)
        1    0.000    0.000    0.013    0.013 defchararray.py:17(<module>)
        1    0.000    0.000    0.013    0.013 fromnumeric.py:3(<module>)
      406    0.008    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:816(get_data)
      190    0.012    0.000    0.012    0.000 {built-in method batch_norm}
     1890    0.012    0.000    0.012    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.012    0.012 parser.py:5(<module>)
       62    0.000    0.000    0.012    0.000 sre_parse.py:819(parse)
        1    0.000    0.000    0.011    0.011 ftemp.py:9(__init__)
        1    0.000    0.000    0.011    0.011 pathlib.py:1(<module>)
        1    0.000    0.000    0.011    0.011 feedparser.py:20(<module>)
   155/62    0.001    0.000    0.011    0.000 sre_parse.py:429(_parse_sub)
   176/68    0.004    0.000    0.010    0.000 sre_parse.py:491(_parse)
        2    0.000    0.000    0.010    0.005 conv.py:2(<module>)
      287    0.003    0.000    0.010    0.000 overrides.py:72(verify_matching_signatures)
