         15395641 function calls (15388763 primitive calls) in 44.600 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20    0.000    0.000    0.000    0.000 {method 'fill_' of 'torch._C._TensorBase' objects}
        7    0.000    0.000    0.000    0.000 tokenize.py:357(detect_encoding)
        3    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
      269    0.000    0.000    0.000    0.000 sre_parse.py:75(groups)
        1    0.000    0.000    0.000    0.000 container.py:1(<module>)
      239    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 observer.py:173(MinMaxObserver)
       49    0.000    0.000    0.000    0.000 typing.py:959(_get_type_vars)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
       73    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
        1    0.000    0.000    0.000    0.000 os.py:40(_get_exports_list)
        2    0.000    0.000    0.000    0.000 __init__.py:331(__init__)
      960    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
       10    0.000    0.000    0.000    0.000 extras.py:237(__init__)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 normalization.py:1(<module>)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1125(_parse_octet)
        1    0.000    0.000    0.000    0.000 init.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:6316(__new__)
       58    0.000    0.000    0.000    0.000 sre_parse.py:312(_class_escape)
       10    0.000    0.000    0.000    0.000 {built-in method tensor}
       59    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
       36    0.000    0.000    0.000    0.000 getlimits.py:41(<lambda>)
        3    0.000    0.000    0.000    0.000 _six.py:69(__new__)
        1    0.000    0.000    0.000    0.000 dropout.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:77(_load_cudart)
       10    0.000    0.000    0.000    0.000 extras.py:241(getdoc)
        1    0.000    0.000    0.000    0.000 polyutils.py:45(<module>)
        1    0.000    0.000    0.000    0.000 serialization.py:1(<module>)
        1    0.000    0.000    0.000    0.000 enum.py:453(Enum)
        1    0.000    0.000    0.000    0.000 tempfile.py:24(<module>)
        1    0.000    0.000    0.000    0.000 conv_fused.py:1(<module>)
      154    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       95    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       38    0.000    0.000    0.000    0.000 {built-in method _make_subclass}
        1    0.000    0.000    0.000    0.000 dataset.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _polybase.py:19(ABCPolyBase)
       62    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       60    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      107    0.000    0.000    0.000    0.000 typing.py:996(<genexpr>)
      734    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       16    0.000    0.000    0.000    0.000 _type_aliases.py:66(_bits_of)
        1    0.000    0.000    0.000    0.000 transformer.py:1(<module>)
      262    0.000    0.000    0.000    0.000 sre_compile.py:101(fixup)
        1    0.000    0.000    0.000    0.000 half_cauchy.py:1(<module>)
      384    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1184(<genexpr>)
        1    0.000    0.000    0.000    0.000 observer.py:350(HistogramObserver)
        1    0.000    0.000    0.000    0.000 variable.py:1(<module>)
        1    0.000    0.000    0.000    0.000 util.py:10(<module>)
       18    0.000    0.000    0.000    0.000 sre_parse.py:260(getuntil)
       12    0.000    0.000    0.000    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
        3    0.000    0.000    0.000    0.000 __init__.py:475(PYFUNCTYPE)
       10    0.000    0.000    0.000    0.000 init.py:137(zeros_)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
        8    0.000    0.000    0.000    0.000 core.py:8058(__init__)
        1    0.000    0.000    0.000    0.000 relaxed_categorical.py:1(<module>)
       89    0.000    0.000    0.000    0.000 typing.py:295(_type_check)
        1    0.000    0.000    0.000    0.000 traceback.py:27(format_list)
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
       10    0.000    0.000    0.000    0.000 init.py:27(_no_grad_zero_)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
       99    0.000    0.000    0.000    0.000 ipaddress.py:1882(__init__)
       37    0.000    0.000    0.000    0.000 {built-in method torch._C._log_api_usage_once}
      472    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.000    0.000 relaxed_bernoulli.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:107(_WindowsFlavour)
        1    0.000    0.000    0.000    0.000 fishersnedecor.py:1(<module>)
        1    0.000    0.000    0.000    0.000 sampler.py:1(<module>)
       30    0.000    0.000    0.000    0.000 getlimits.py:27(_fr1)
      406    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:811(get_filename)
        1    0.000    0.000    0.000    0.000 queue.py:1(<module>)
        1    0.000    0.000    0.000    0.000 negative_binomial.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mixins.py:63(NDArrayOperatorsMixin)
        1    0.000    0.000    0.000    0.000 transformed_distribution.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method full}
        8    0.000    0.000    0.000    0.000 {built-in method io.open}
      447    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:427(has_location)
        1    0.000    0.000    0.000    0.000 exponential.py:1(<module>)
      182    0.000    0.000    0.000    0.000 enum.py:24(_is_sunder)
        1    0.000    0.000    0.000    0.000 <string>:5(DecimalTuple)
        1    0.000    0.000    0.000    0.000 __init__.py:114(_check_capability)
       19    0.000    0.000    0.000    0.000 {method 'detach' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.000    0.000 instancenorm.py:1(<module>)
      124    0.000    0.000    0.000    0.000 sre_compile.py:513(isstring)
        8    0.000    0.000    0.000    0.000 core.py:8063(getdoc)
       71    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
        1    0.000    0.000    0.000    0.000 fused.py:1(<module>)
       62    0.000    0.000    0.000    0.000 sre_parse.py:70(__init__)
        1    0.000    0.000    0.000    0.000 traceback.py:381(format)
       62    0.000    0.000    0.000    0.000 sre_parse.py:797(fix_flags)
        1    0.000    0.000    0.000    0.000 conv_relu.py:1(<module>)
        1    0.000    0.000    0.000    0.000 umath.py:7(<module>)
        6    0.000    0.000    0.000    0.000 functools.py:422(decorating_function)
       25    0.000    0.000    0.000    0.000 codecs.py:318(decode)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1612(_make_netmask)
        1    0.000    0.000    0.000    0.000 _version.py:2(<module>)
       12    0.000    0.000    0.000    0.000 enum.py:361(_get_mixins_)
        1    0.000    0.000    0.000    0.000 annotations.py:1(<module>)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:745(exec_module)
       68    0.000    0.000    0.000    0.000 ipaddress.py:1251(__init__)
        1    0.000    0.000    0.000    0.000 multivariate_normal.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:246(_set_array_types)
        1    0.000    0.000    0.000    0.000 binomial.py:1(<module>)
        2    0.000    0.000    0.000    0.000 sparse.py:1(<module>)
      190    0.000    0.000    0.000    0.000 {built-in method torch._C._get_cudnn_enabled}
        1    0.000    0.000    0.000    0.000 categorical.py:1(<module>)
      890    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        1    0.000    0.000    0.000    0.000 response.py:7(<module>)
       57    0.000    0.000    0.000    0.000 __init__.py:19(__new__)
       23    0.000    0.000    0.000    0.000 constraint_registry.py:106(<lambda>)
       60    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:424(LoadLibrary)
       47    0.000    0.000    0.000    0.000 ipaddress.py:158(_split_optional_netmask)
       59    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        6    0.000    0.000    0.000    0.000 core.py:1141(__init__)
       36    0.000    0.000    0.000    0.000 _string_helpers.py:16(english_lower)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:97(dtype_from_ctypes_type)
       70    0.000    0.000    0.000    0.000 __init__.py:1673(<lambda>)
        2    0.000    0.000    0.000    0.000 utils.py:75(__call__)
        1    0.000    0.000    0.000    0.000 multinomial.py:1(<module>)
      559    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        2    0.000    0.000    0.000    0.000 typing.py:698(__getitem__)
       74    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:919(_sanity_check)
       46    0.000    0.000    0.000    0.000 constraint_registry.py:87(register)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
        2    0.000    0.000    0.000    0.000 random.py:1(<module>)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
        1    0.000    0.000    0.000    0.000 resource_sharer.py:11(<module>)
        1    0.000    0.000    0.000    0.000 upsampling.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1444(IPv4Network)
       30    0.000    0.000    0.000    0.000 getlimits.py:19(_fr0)
       55    0.000    0.000    0.000    0.000 {method 'size' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.000    0.000 _monitor.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
        1    0.000    0.000    0.000    0.000 core.py:2708(MaskedArray)
        1    0.000    0.000    0.000    0.000 utils.py:1982(suppress_warnings)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
      401    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:656(create_module)
        2    0.000    0.000    0.000    0.000 core.py:2929(__array_finalize__)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
        1    0.000    0.000    0.000    0.000 uniform.py:1(<module>)
        1    0.000    0.000    0.000    0.000 fake_quantize.py:1(<module>)
      407    0.000    0.000    0.000    0.000 {built-in method _sre.getlower}
      192    0.000    0.000    0.000    0.000 {built-in method torch._C.is_grad_enabled}
        2    0.000    0.000    0.000    0.000 arrayprint.py:462(decorating_function)
       13    0.000    0.000    0.000    0.000 init.py:32(calculate_gain)
        1    0.000    0.000    0.000    0.000 _tensor_str.py:1(<module>)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1075(_make_netmask)
        1    0.000    0.000    0.000    0.000 machar.py:7(<module>)
       36    0.000    0.000    0.000    0.000 _add_newdocs.py:6710(<genexpr>)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:39(seterr)
       57    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        2    0.000    0.000    0.000    0.000 utils.py:147(deprecate)
        1    0.000    0.000    0.000    0.000 typing.py:1773(BinaryIO)
        1    0.000    0.000    0.000    0.000 streams.py:1(<module>)
        1    0.000    0.000    0.000    0.000 normal.py:1(<module>)
       90    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
        1    0.000    0.000    0.000    0.000 cauchy.py:1(<module>)
       89    0.000    0.000    0.000    0.000 typing.py:423(_get_type_vars)
        1    0.000    0.000    0.000    0.000 spectral_norm.py:3(<module>)
      104    0.000    0.000    0.000    0.000 typing.py:914(<genexpr>)
        1    0.000    0.000    0.000    0.000 throughput_benchmark.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:2596(MaskedIterator)
        1    0.000    0.000    0.000    0.000 __init__.py:83(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1121(__init__)
        1    0.000    0.000    0.000    0.000 datetime.py:1815(timezone)
        1    0.000    0.000    0.000    0.000 gamma.py:1(<module>)
      136    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 grad_mode.py:1(<module>)
        1    0.000    0.000    0.000    0.000 os.py:1049(close)
        1    0.000    0.000    0.000    0.000 log_normal.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:2773(__new__)
       13    0.000    0.000    0.000    0.000 mixins.py:48(_numeric_methods)
       72    0.000    0.000    0.000    0.000 kl.py:37(register_kl)
        1    0.000    0.000    0.000    0.000 threading.py:1188(__init__)
        1    0.000    0.000    0.000    0.000 typing.py:1043(__subclasscheck__)
       30    0.000    0.000    0.000    0.000 _type_aliases.py:238(_add_array_type)
        8    0.000    0.000    0.000    0.000 _torch_docs.py:23(<dictcomp>)
        1    0.000    0.000    0.000    0.000 weibull.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:195(_sanity_check)
        1    0.000    0.000    0.000    0.000 fold.py:2(<module>)
        1    0.000    0.000    0.000    0.000 token.py:74(<dictcomp>)
        2    0.000    0.000    0.000    0.000 random.py:84(__init__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:445(_construct_lookups)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:154(_add_integer_aliases)
        1    0.000    0.000    0.000    0.000 stubs.py:2(<module>)
        1    0.000    0.000    0.000    0.000 poisson.py:1(<module>)
        5    0.000    0.000    0.000    0.000 init.py:74(uniform_)
        1    0.000    0.000    0.000    0.000 functional_modules.py:1(<module>)
        3    0.000    0.000    0.000    0.000 typing.py:664(__new__)
        4    0.000    0.000    0.000    0.000 __init__.py:332(get_device_properties)
        1    0.000    0.000    0.000    0.000 context.py:214(DefaultContext)
        1    0.000    0.000    0.000    0.000 typing_extensions.py:1126(__new__)
        1    0.000    0.000    0.000    0.000 logistic_normal.py:1(<module>)
        1    0.000    0.000    0.000    0.000 studentT.py:1(<module>)
        1    0.000    0.000    0.000    0.000 laplace.py:1(<module>)
        1    0.000    0.000    0.000    0.000 independent.py:1(<module>)
        1    0.000    0.000    0.000    0.000 inspect.py:2349(_ParameterKind)
       12    0.000    0.000    0.000    0.000 enum.py:84(__prepare__)
        1    0.000    0.000    0.000    0.000 gui.py:9(<module>)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1734(_parse_hextet)
        1    0.000    0.000    0.000    0.000 one_hot_categorical.py:1(<module>)
        6    0.000    0.000    0.000    0.000 _collections_abc.py:592(get)
        1    0.000    0.000    0.000    0.000 transforms.py:213(ComposeTransform)
        1    0.000    0.000    0.000    0.000 lbfgs.py:1(<module>)
       12    0.000    0.000    0.000    0.000 enum.py:99(<dictcomp>)
        5    0.000    0.000    0.000    0.000 init.py:12(_no_grad_uniform_)
        1    0.000    0.000    0.000    0.000 random.py:93(seed)
       59    0.000    0.000    0.000    0.000 _inspect.py:146(<lambda>)
        1    0.000    0.000    0.000    0.000 distance.py:1(<module>)
       52    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       16    0.000    0.000    0.000    0.000 _string_helpers.py:72(english_capitalize)
        1    0.000    0.000    0.000    0.000 core.py:3078(view)
      102    0.000    0.000    0.000    0.000 abc.py:9(abstractmethod)
        1    0.000    0.000    0.000    0.000 pareto.py:1(<module>)
      229    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       17    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:441(__enter__)
        1    0.000    0.000    0.000    0.000 activation.py:972(__init__)
        8    0.000    0.000    0.000    0.000 os.py:720(__getitem__)
        3    0.000    0.000    0.000    0.000 datetime.py:1319(__new__)
        1    0.000    0.000    0.000    0.000 fetch.py:4(<module>)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
        7    0.000    0.000    0.000    0.000 posixpath.py:145(dirname)
       72    0.000    0.000    0.000    0.000 kl.py:68(decorator)
       27    0.000    0.000    0.000    0.000 linecache.py:147(lazycache)
       78    0.000    0.000    0.000    0.000 overrides.py:105(decorator)
      192    0.000    0.000    0.000    0.000 {built-in method torch._C.set_grad_enabled}
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
       59    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
       11    0.000    0.000    0.000    0.000 tokenize.py:381(read_or_stop)
        1    0.000    0.000    0.000    0.000 anomaly_mode.py:1(<module>)
        4    0.000    0.000    0.000    0.000 ssl.py:330(__new__)
       78    0.000    0.000    0.000    0.000 _internal.py:830(<genexpr>)
        1    0.000    0.000    0.000    0.000 pickle.py:975(_Unpickler)
        2    0.000    0.000    0.000    0.000 __init__.py:315(get_device_capability)
        1    0.000    0.000    0.000    0.000 storage.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {method 'bool' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
        6    0.000    0.000    0.000    0.000 sre_compile.py:379(_bytes_to_codes)
       19    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        2    0.000    0.000    0.000    0.000 posixpath.py:355(abspath)
      136    0.000    0.000    0.000    0.000 sre_parse.py:161(__setitem__)
        1    0.000    0.000    0.000    0.000 format.py:163(<module>)
        1    0.000    0.000    0.000    0.000 _dtype.py:5(<module>)
        1    0.000    0.000    0.000    0.000 fnmatch.py:11(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
       74    0.000    0.000    0.000    0.000 module.py:588(remove_from)
        3    0.000    0.000    0.000    0.000 util.py:136(register_after_fork)
        1    0.000    0.000    0.000    0.000 negative_binomial.py:8(NegativeBinomial)
       32    0.000    0.000    0.000    0.000 _type_aliases.py:68(<genexpr>)
        1    0.000    0.000    0.000    0.000 _version.py:7(<module>)
       78    0.000    0.000    0.000    0.000 overrides.py:94(set_module)
        1    0.000    0.000    0.000    0.000 linalg.py:82(_determine_error_states)
        1    0.000    0.000    0.000    0.000 weight_norm.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _VF.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:256(manager_path)
       10    0.000    0.000    0.000    0.000 enum.py:260(__getattr__)
      189    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
       25    0.000    0.000    0.000    0.000 ipaddress.py:476(_prefix_from_prefix_string)
        1    0.000    0.000    0.000    0.000 parameter.py:1(<module>)
       94    0.000    0.000    0.000    0.000 ssl.py:131(<lambda>)
        1    0.000    0.000    0.000    0.000 core.py:6334(__array_finalize__)
        7    0.000    0.000    0.000    0.000 getlimits.py:497(__init__)
        1    0.000    0.000    0.000    0.000 _add_newdocs.py:6668(numeric_type_aliases)
        3    0.000    0.000    0.000    0.000 functools.py:192(total_ordering)
       13    0.000    0.000    0.000    0.000 sre_compile.py:391(_generate_overlap_table)
       25    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        1    0.000    0.000    0.000    0.000 typing_extensions.py:1644(__new__)
        2    0.000    0.000    0.000    0.000 pathlib.py:374(_wrap_binary_strfunc)
        1    0.000    0.000    0.000    0.000 result.py:24(TestResult)
        2    0.000    0.000    0.000    0.000 utils.py:133(_get_indent)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:235(_requires_builtin_wrapper)
        1    0.000    0.000    0.000    0.000 _asarray.py:5(<module>)
        1    0.000    0.000    0.000    0.000 reductions.py:346(init_reductions)
        1    0.000    0.000    0.000    0.000 adagrad.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mcst.py:78(_reset)
        1    0.000    0.000    0.000    0.000 sparse_adam.py:1(<module>)
       23    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
        5    0.000    0.000    0.000    0.000 warnings.py:78(_add_filter)
        1    0.000    0.000    0.000    0.000 rmsprop.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1245(IPv4Address)
        1    0.000    0.000    0.000    0.000 pixelshuffle.py:1(<module>)
       11    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 adamw.py:1(<module>)
        1    0.000    0.000    0.000    0.000 lowrank_multivariate_normal.py:46(LowRankMultivariateNormal)
        1    0.000    0.000    0.000    0.000 conv.py:1(<module>)
        1    0.000    0.000    0.000    0.000 adam.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _storage_docs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 sgd.py:1(<module>)
       11    0.000    0.000    0.000    0.000 tokenize.py:387(find_cookie)
        3    0.000    0.000    0.000    0.000 ufunclike.py:60(_fix_and_maybe_deprecate_out_named_y)
        1    0.000    0.000    0.000    0.000 subprocess.py:1618(wait)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:95(_add_types)
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 asgd.py:1(<module>)
        2    0.000    0.000    0.000    0.000 core.py:6499(__init__)
        1    0.000    0.000    0.000    0.000 rprop.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _recursive.py:1(<module>)
      166    0.000    0.000    0.000    0.000 ipaddress.py:417(_check_int_address)
        1    0.000    0.000    0.000    0.000 adamax.py:1(<module>)
        3    0.000    0.000    0.000    0.000 ufunclike.py:43(_fix_out_named_y)
        1    0.000    0.000    0.000    0.000 _pytesttester.py:29(<module>)
        1    0.000    0.000    0.000    0.000 bernoulli.py:10(Bernoulli)
      114    0.000    0.000    0.000    0.000 opcode.py:41(def_op)
        1    0.000    0.000    0.000    0.000 case.py:336(TestCase)
        2    0.000    0.000    0.000    0.000 posixpath.py:318(normpath)
       68    0.000    0.000    0.000    0.000 typing.py:976(__eq__)
        6    0.000    0.000    0.000    0.000 hashlib.py:98(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 multivariate_normal.py:78(MultivariateNormal)
       14    0.000    0.000    0.000    0.000 os.py:796(encode)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:446(__exit__)
       27    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
       18    0.000    0.000    0.000    0.000 _add_newdocs.py:6669(type_aliases_gen)
        3    0.000    0.000    0.000    0.000 result.py:12(failfast)
        1    0.000    0.000    0.000    0.000 quasirandom.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numbers.py:32(Complex)
       12    0.000    0.000    0.000    0.000 enum.py:47(__init__)
        1    0.000    0.000    0.000    0.000 hooks.py:1(<module>)
        5    0.000    0.000    0.000    0.000 datetime.py:264(_check_date_fields)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(<module>)
       11    0.000    0.000    0.000    0.000 init.py:429(_make_deprecate)
       37    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        8    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.000    0.000 ssl.py:346(Purpose)
        1    0.000    0.000    0.000    0.000 pathlib.py:602(PurePath)
        1    0.000    0.000    0.000    0.000 {built-in method torch._C._multiprocessing_init}
       59    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
      171    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 categorical.py:8(Categorical)
       70    0.000    0.000    0.000    0.000 inspect.py:158(isfunction)
        1    0.000    0.000    0.000    0.000 pin_memory.py:6(<module>)
        1    0.000    0.000    0.000    0.000 binomial.py:13(Binomial)
        1    0.000    0.000    0.000    0.000 fuse_modules.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:187(_set_up_aliases)
        1    0.000    0.000    0.000    0.000 std.py:186(tqdm)
        2    0.000    0.000    0.000    0.000 platform.py:1304(python_implementation)
        2    0.000    0.000    0.000    0.000 __init__.py:357(__getattr__)
        2    0.000    0.000    0.000    0.000 weakref.py:101(__init__)
        1    0.000    0.000    0.000    0.000 uu.py:31(<module>)
      127    0.000    0.000    0.000    0.000 typing.py:109(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method torch._C._init_names}
       32    0.000    0.000    0.000    0.000 typing.py:511(<genexpr>)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:69(_from_ctypes_scalar)
        1    0.000    0.000    0.000    0.000 threading.py:755(__init__)
        1    0.000    0.000    0.000    0.000 numbers.py:294(Integral)
        1    0.000    0.000    0.000    0.000 os.py:44(<listcomp>)
        5    0.000    0.000    0.000    0.000 posixpath.py:71(join)
        1    0.000    0.000    0.000    0.000 relaxed_bernoulli.py:10(LogitRelaxedBernoulli)
        1    0.000    0.000    0.000    0.000 resnet.py:1(<module>)
        3    0.000    0.000    0.000    0.000 weakref.py:155(__setitem__)
        8    0.000    0.000    0.000    0.000 _jit_internal.py:122(boolean_dispatch)
        1    0.000    0.000    0.000    0.000 rendezvous.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tensor.py:22(Tensor)
        1    0.000    0.000    0.000    0.000 rpc.py:51(RpcBackend)
        2    0.000    0.000    0.000    0.000 os.py:734(__delitem__)
        1    0.000    0.000    0.000    0.000 _classes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        2    0.000    0.000    0.000    0.000 platform.py:1199(_sys_version)
        1    0.000    0.000    0.000    0.000 datetime.py:1311(datetime)
        3    0.000    0.000    0.000    0.000 {built-in method posix.urandom}
        1    0.000    0.000    0.000    0.000 contextlib.py:26(__call__)
       47    0.000    0.000    0.000    0.000 ipaddress.py:607(__init__)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:892(__init__)
        1    0.000    0.000    0.000    0.000 signal_handling.py:31(<module>)
       75    0.000    0.000    0.000    0.000 signal.py:22(<lambda>)
        1    0.000    0.000    0.000    0.000 datetime.py:513(__neg__)
       36    0.000    0.000    0.000    0.000 __init__.py:22(<genexpr>)
       47    0.000    0.000    0.000    0.000 ipaddress.py:553(__eq__)
       16    0.000    0.000    0.000    0.000 _string_helpers.py:44(english_upper)
        1    0.000    0.000    0.000    0.000 enum.py:556(IntEnum)
        1    0.000    0.000    0.000    0.000 _namedtensor_internals.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:303(get_device_name)
       27    0.000    0.000    0.000    0.000 pathlib.py:119(<genexpr>)
        2    0.000    0.000    0.000    0.000 core.py:2903(_update_from)
       58    0.000    0.000    0.000    0.000 {built-in method math.sqrt}
        1    0.000    0.000    0.000    0.000 frontend.py:378(ExprBuilder)
        1    0.000    0.000    0.000    0.000 argparse.py:153(HelpFormatter)
        1    0.000    0.000    0.000    0.000 transforms.py:554(CatTransform)
        5    0.000    0.000    0.000    0.000 datetime.py:277(_check_time_fields)
        1    0.000    0.000    0.000    0.000 flatten.py:1(<module>)
        2    0.000    0.000    0.000    0.000 datetime.py:1030(__new__)
       20    0.000    0.000    0.000    0.000 mixins.py:20(_binary_method)
       28    0.000    0.000    0.000    0.000 traceback.py:286(walk_stack)
        1    0.000    0.000    0.000    0.000 prgs.py:1(<module>)
       59    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
        1    0.000    0.000    0.000    0.000 parallel_apply.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numeric.py:166(ones)
        1    0.000    0.000    0.000    0.000 __init__.py:40(_parse_env)
        1    0.000    0.000    0.000    0.000 polynomial.py:1442(Polynomial)
        7    0.000    0.000    0.000    0.000 sre_parse.py:251(getwhile)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:139(geterr)
       35    0.000    0.000    0.000    0.000 datetime.py:247(_check_int_field)
        1    0.000    0.000    0.000    0.000 grad.py:1(<module>)
       23    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        2    0.000    0.000    0.000    0.000 datetime.py:671(__new__)
        1    0.000    0.000    0.000    0.000 fusion.py:2(<module>)
